area_name,area_url
札幌駅周辺,hokkaido/A0101/A010101
大通公園周辺,hokkaido/A0101/A010102
すすきの周辺,hokkaido/A0101/A010103
山鼻西線沿線,hokkaido/A0101/A010104
円山公園・盤渓周辺,hokkaido/A0101/A010105
札幌市北区,hokkaido/A0101/A010201
札幌市東区,hokkaido/A0101/A010202
札幌市手稲区,hokkaido/A0101/A010203
札幌市西区,hokkaido/A0101/A010204
札幌市白石区,hokkaido/A0101/A010301
札幌市厚別区,hokkaido/A0101/A010302
札幌市豊平区,hokkaido/A0101/A010303
札幌市清田区,hokkaido/A0101/A010304
札幌市南区,hokkaido/A0101/A010305
旭川市,hokkaido/A0104/A010401
士別・名寄周辺,hokkaido/A0104/A010402
富良野・美瑛・トマム,hokkaido/A0104/A010403
比布・和寒,hokkaido/A0104/A010404
層雲峡・旭岳・天人峡周辺,hokkaido/A0104/A010405
函館市,hokkaido/A0105/A010501
松前・亀田周辺,hokkaido/A0105/A010502
檜山・長万部周辺,hokkaido/A0105/A010503
小樽市,hokkaido/A0106/A010601
積丹半島・余市・キロロ,hokkaido/A0106/A010602
ニセコ・ルスツ周辺,hokkaido/A0106/A010603
島牧・寿都・黒松内,hokkaido/A0106/A010604
千歳市,hokkaido/A0107/A010701
石狩・当別周辺,hokkaido/A0107/A010702
江別・恵庭・北広島,hokkaido/A0107/A010703
長沼・由仁・夕張,hokkaido/A0107/A010704
深川・赤平・滝川・芦別,hokkaido/A0107/A010705
月形・新十津川周辺,hokkaido/A0107/A010706
歌志内・砂川・美唄周辺,hokkaido/A0107/A010707
岩見沢・三笠,hokkaido/A0107/A010708
洞爺・伊達・豊浦,hokkaido/A0108/A010801
苫小牧・白老,hokkaido/A0108/A010802
室蘭・登別,hokkaido/A0108/A010803
日高・静内・えりも周辺,hokkaido/A0108/A010804
稚内市,hokkaido/A0109/A010901
豊富・サロベツ原野周辺,hokkaido/A0109/A010902
オホーツク沿岸北部,hokkaido/A0109/A010903
音威子府・美深・中川,hokkaido/A0109/A010904
留萌・羽幌・オロロライン,hokkaido/A0109/A010905
利尻・礼文,hokkaido/A0109/A010906
網走・サロマ湖・美幌周辺,hokkaido/A0110/A011001
知床半島斜里・小清水原生花園周辺,hokkaido/A0110/A011002
北見・留辺蘂町・遠軽町周辺,hokkaido/A0110/A011003
紋別・オホーツク沿岸南部,hokkaido/A0110/A011004
帯広市,hokkaido/A0111/A011101
十勝川温泉・狩勝高原周辺,hokkaido/A0111/A011102
幕別・中礼内村・広尾周辺,hokkaido/A0111/A011103
然別湖・糠平湖・足寄周辺,hokkaido/A0111/A011104
釧路市,hokkaido/A0112/A011201
釧路湿原・阿寒・摩周湖周辺,hokkaido/A0112/A011202
根室・霧多布周辺,hokkaido/A0112/A011203
知床半島羅臼・野付半島・根釧台地周辺,hokkaido/A0112/A011204
青森市,aomori/A0201/A020101
浅虫温泉・夏泊半島,aomori/A0201/A020102
津軽半島東海岸・龍飛崎,aomori/A0201/A020103
八甲田山,aomori/A0201/A020104
弘前市,aomori/A0202/A020201
津軽平野・板柳,aomori/A0202/A020202
黒石・青荷温泉,aomori/A0202/A020203
岩木山・白神山地,aomori/A0202/A020204
大鰐・碇ケ関,aomori/A0202/A020205
八戸・種差海岸,aomori/A0203/A020301
三戸・南部,aomori/A0203/A020302
三沢・古牧温泉・小川原湖,aomori/A0203/A020303
十和田市・七戸・十和田湖,aomori/A0203/A020304
むつ市,aomori/A0204/A020401
野辺地・下北丘陵・尻屋崎,aomori/A0204/A020402
大間崎・下風呂温泉,aomori/A0204/A020403
脇野沢・仏ケ浦,aomori/A0204/A020404
つがる市,aomori/A0205/A020501
津軽鉄道沿線・五所川原・金木,aomori/A0205/A020502
五能線沿線・十二湖,aomori/A0205/A020503
秋田市,akita/A0501/A050101
大館市,akita/A0502/A050201
北秋田・阿仁,akita/A0502/A050202
鹿角・小坂,akita/A0502/A050203
能代・八森,akita/A0503/A050301
八郎潟・五城目・山本,akita/A0503/A050302
男鹿半島,akita/A0503/A050303
仙北・田沢湖,akita/A0504/A050401
大仙・美郷・大曲,akita/A0504/A050402
横手市,akita/A0505/A050501
湯沢・羽後,akita/A0505/A050502
本荘由利・鳥海山麓,akita/A0506/A050601
にかほ・象潟,akita/A0506/A050602
山形,yamagata/A0601/A060101
上山,yamagata/A0601/A060102
米沢,yamagata/A0602/A060201
南陽市・赤湯温泉周辺,yamagata/A0602/A060202
フラワー長井線沿線,yamagata/A0602/A060203
飯豊山麓・小国・飯豊,yamagata/A0602/A060204
酒田・庄内,yamagata/A0603/A060301
鶴岡・湯野浜温泉,yamagata/A0603/A060302
遊佐,yamagata/A0603/A060303
新庄,yamagata/A0604/A060401
新庄周辺西部・最上峡,yamagata/A0604/A060402
新庄周辺東部・最上町,yamagata/A0604/A060403
新庄周辺北部・真室川,yamagata/A0604/A060404
天童・東根,yamagata/A0605/A060501
村山市・大石田,yamagata/A0605/A060502
尾花沢,yamagata/A0605/A060503
寒河江・山辺・河北,yamagata/A0605/A060504
月山南麓・朝日岳麓,yamagata/A0605/A060505
盛岡市,iwate/A0301/A030101
雫石町,iwate/A0301/A030102
矢巾町・紫波町,iwate/A0301/A030103
滝沢市,iwate/A0301/A030104
花巻市,iwate/A0302/A030201
北上市,iwate/A0302/A030202
遠野・早池峰,iwate/A0302/A030203
石鳥谷町・東和町,iwate/A0302/A030204
西和賀町,iwate/A0302/A030205
一関市・藤沢町,iwate/A0303/A030301
奥州市,iwate/A0303/A030302
平泉,iwate/A0303/A030303
金ヶ崎町,iwate/A0303/A030304
宮古・浄土ケ浜・田老,iwate/A0304/A030401
釜石,iwate/A0304/A030402
大船渡・陸前高田,iwate/A0304/A030403
久慈,iwate/A0304/A030404
岩泉町,iwate/A0304/A030405
北山崎・田野畑・普代,iwate/A0304/A030406
八幡平市,iwate/A0305/A030501
二戸・金田一温泉,iwate/A0305/A030502
岩手町・葛巻町,iwate/A0305/A030503
青葉区,miyagi/A0401/A040101
宮城野区,miyagi/A0401/A040102
若林区,miyagi/A0401/A040103
泉区,miyagi/A0401/A040104
太白区,miyagi/A0401/A040105
蔵王・川崎・柴田,miyagi/A0402/A040201
角田・丸森,miyagi/A0402/A040202
白石・七ケ宿,miyagi/A0402/A040203
名取・岩沼・県南海岸,miyagi/A0402/A040204
大崎(古川・鳴子)・美里,miyagi/A0403/A040301
栗原市,miyagi/A0403/A040302
登米・伊豆沼,miyagi/A0403/A040303
大和・大衡,miyagi/A0403/A040304
気仙沼市,miyagi/A0404/A040401
南三陸・本吉,miyagi/A0404/A040402
石巻・牡鹿半島,miyagi/A0404/A040403
松島・塩釜・多賀城,miyagi/A0404/A040404
福島市・飯坂温泉,fukushima/A0701/A070101
伊達・霊山,fukushima/A0701/A070102
二本松市・土湯・高湯・岳温泉,fukushima/A0701/A070103
郡山市,fukushima/A0702/A070201
須賀川,fukushima/A0702/A070202
磐越東線沿線・三春,fukushima/A0702/A070203
白河,fukushima/A0703/A070301
羽鳥高原・二岐温泉,fukushima/A0703/A070302
甲子高原・甲子温泉,fukushima/A0703/A070303
水郡線沿線・棚倉,fukushima/A0703/A070304
いわき市,fukushima/A0704/A070401
浜通り南部・浪江,fukushima/A0704/A070402
浜通り北部・相馬,fukushima/A0704/A070403
会津若松・東山温泉,fukushima/A0705/A070501
磐梯山・磐梯高原,fukushima/A0705/A070502
会津美里・会津本郷,fukushima/A0705/A070503
喜多方・熱塩温泉,fukushima/A0706/A070601
只見・柳津・会津坂下,fukushima/A0706/A070602
会津高原・会津田島,fukushima/A0707/A070701
檜枝岐・尾瀬口,fukushima/A0707/A070702
銀座,tokyo/A1301/A130101
有楽町・日比谷,tokyo/A1301/A130102
新橋・汐留,tokyo/A1301/A130103
丸の内・大手町,tokyo/A1302/A130201
日本橋・京橋,tokyo/A1302/A130202
茅場町・八丁堀,tokyo/A1302/A130203
人形町・小伝馬町,tokyo/A1302/A130204
渋谷,tokyo/A1303/A130301
恵比寿,tokyo/A1303/A130302
代官山,tokyo/A1303/A130303
新宿,tokyo/A1304/A130401
新宿御苑,tokyo/A1304/A130402
代々木,tokyo/A1304/A130403
大久保・新大久保,tokyo/A1304/A130404
池袋,tokyo/A1305/A130501
目白,tokyo/A1305/A130502
高田馬場,tokyo/A1305/A130503
早稲田周辺,tokyo/A1305/A130504
原宿,tokyo/A1306/A130601
表参道,tokyo/A1306/A130602
青山一丁目・外苑前,tokyo/A1306/A130603
六本木・乃木坂・西麻布,tokyo/A1307/A130701
麻布十番,tokyo/A1307/A130702
広尾,tokyo/A1307/A130703
神谷町,tokyo/A1307/A130704
赤坂,tokyo/A1308/A130801
溜池山王・霞ヶ関,tokyo/A1308/A130802
永田町・麹町・半蔵門,tokyo/A1308/A130803
千駄ヶ谷・信濃町,tokyo/A1309/A130901
四ツ谷,tokyo/A1309/A130902
曙橋・四ツ谷三丁目,tokyo/A1309/A130903
市ヶ谷,tokyo/A1309/A130904
飯田橋・神楽坂,tokyo/A1309/A130905
九段下,tokyo/A1309/A130906
秋葉原,tokyo/A1310/A131001
神田・御茶ノ水,tokyo/A1310/A131002
神保町・水道橋,tokyo/A1310/A131003
